comment_text,content_id,형태소,형태소기반_감정,맥락기반_감정
지금이분같은경우는 평소 혈당자체가 일반인보다 더 극적으로 좋으신분이에요 일반인보다 훨씬 건강하신분임... 저런건 이제 저처럼 관리가 잘 안된사람들이 먹어서 그걸 보여주면됩니다 바나바잎 영양제 저런거 관리안된사람이 먹게되면 사람마다 다르겠지만 약빨 잘받는사람들은 진짜 드라마틱하게 효과나옵니다 평소랑 똑같이먹었는데 한 3주정도 지나면 20~30정도 줄어드는게 눈에 보입니다... 평소 혈당 200씩나오는게 180정도까지도 떨어지더라구요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,59,"['경우', '평소', '혈당', '자체', '일반인', '일반인', '건강', '관리', '사람', '그거', '보이', '바나바잎', '영양제', '관리', '사람', '사람', '다르', '사람', '효과', '나오', '평소', '정도', '지나', '정도', '보이', '평소', '혈당', '나오', '정도', '떨어지']",긍정,중립
"우리나라에 나와있는 영양제, 비타민, 혈당제등 건강보조, 기능식품은 성분이 거의 똑같은데 가격만 다르다.",59,"['우리', '나라', '나오', '영양제', '비타민', '혈당', '건강', '보조', '기능', '식품', '성분', '똑같', '가격', '다르']",중립,중립
5개월전에 ldl수치높아서 약먹어야된댔는데 빵먹고 과자먹고 평소랑 똑같은 패턴으로 생활하고ㅋ 약사가 쿄릭좋대서 쿄릭이랑 다이소 베르베린이랑 지마켓으로 산 혈당영양제먹었더니 정확히 159에서 121로 떨어짐ㅋ,59,"['개월', '수치', '과자', '평소', '똑같', '패턴', '생활', '약사', '쿄릭', '쿄릭', '다이소', '베르', '마켓', '혈당', '영양제', '떨어지']",중립,중립
의사선생님과 상담할꺼면 안먹는게 좋죠~,59,"['의사', '선생', '상담']",중립,중립
약만으로 해결되는 건 아무것도 없는듯,59,"['해결', '아무것']",중립,중립
약효를 보려면 먹으라는 양보다 5배는 더 먹어야 함,59,['약효'],중립,중립
"혈당이 그렇게 중요하면 제일 본질적인 탄수화물(포도당,과당등)을 적게 먹어야하는거 아님? 그리고 에너지가 필요하면 포도당(탄수화물)을 넣어주는게아니라 지방을 넣어주는 방법도 있는거고 지방은 인슐린이 반응안하는 에너지원이니까 운동하면 몸이 근육에 포도당이라는 에너지를 넣어줘야하니깐 인슐린이 포도당을 근육으로 보내서 혈당을 빨리 낮추는 처리는 할듯 결국 본질은 과도하게 포도당을 몸에 너무 많이 넣은탓",59,"['혈당', '그렇', '중요', '제일', '본질', '탄수화물', '포도당', '과당', '아니', '에너지', '필요', '포도당', '탄수화물', '아니', '지방', '방법', '지방', '인슐린', '반응', '에너지원', '운동', '근육', '포도당', '에너지', '인슐린', '포도당', '근육', '보내', '혈당', '낮추', '처리', '결국', '본질', '과도', '포도당']",중립,중립
마그네슘 설사난다,60,"['마그네슘', '설사']",중립,중립
허리에좋타 누가그러죠ㅠ,60,"['허리', '누구', '그러']",중립,중립
밀크시슬 이랑허리는왜 엉터리 광고내,60,"['밀크', '이랑', '허리', '엉터리', '광고']",중립,중립
